date, pm25, pm10, o3, no2, so2, co
2022/9/14, 112, 54, 19, 12, 13, 9
2022/9/15, 80, 55, 19, 11, 10, 8
2022/9/16, 86, 59, 14, 11, 11, 9
2022/9/17, 96, 64, 13, 12, 9, 8
2022/9/18, 107, 57, 14, 11, 10, 7
2022/9/19, 91, 50, 14, 11, 10, 6
2022/9/20, 70, 56, 15, 11, 10, 7
2022/9/21, 77, 60, 15, 11, 11, 8
2022/9/22, 88, 61, 18, 11, 9, 8
2022/9/23, 91, 63, 15, 12, 10, 8
2022/9/24, 105, 72, 7, 13, 11, 5
2022/9/25, 151, 69, 13, 12, 10, 5
2022/9/26, 135, 50, 15, 11, 11, 9
2022/9/27, 76, 53, 14, 11, 8, 10
2022/9/28, 84, 59, 11, 8, 8, 9
2022/9/29, 92, 66, 13, 4, 10, 7
2022/9/30, 108, 65, 13, 3, 9, 9
2022/4/1, 101, 78, 22, 17, 10, 10
2022/4/2, 140, 59, 22, 19, 11, 11
2022/4/3, 128, 57, 24, 14, 12, 13
2022/4/4, 88, 66, 24, 14, 12, 13
2022/4/5, 123, 71, 20, 15, 10, 10
2022/4/6, 123, 73, 21, 14, 10, 9
2022/4/7, 117, 63, 21, 12, 8, 7
2022/4/8, 145, 61, 23, 18, 7, 11
2022/4/9, 112, , , , , 
2022/4/11, 140, 67, 21, 16, 11, 10
2022/4/12, 137, 70, 21, 15, 11, 14
2022/4/13, 108, 67, 24, 13, 11, 13
2022/4/14, 128, 64, 23, 9, 11, 9
2022/4/15, 40, 56, 20, 8, 13, 9
2022/4/16, 80, 56, 19, 8, 13, 10
2022/4/17, 118, 67, 24, 18, 11, 10
2022/4/18, 126, 67, 29, 19, 12, 12
2022/4/19, 79, 68, 29, 19, 12, 12
2022/4/20, 79, 64, 24, 17, 13, 11
2022/4/21, 127, 61, 21, 14, 12, 9
2022/4/22, 168, 53, 23, 16, 10, 10
2022/4/23, 114, 53, 23, 19, 10, 11
2022/4/24, 74, 70, 22, 13, 13, 11
2022/4/25, 88, 66, 24, 16, 13, 11
2022/4/26, 64, 65, 28, 14, 12, 11
2022/4/27, 108, 64, 29, 14, 13, 12
2022/4/28, 112, 50, 28, 15, 12, 14
2022/4/29, 96, 55, 25, 13, 13, 12
2022/4/30, 89, , , , , 
2022/5/2, 112, 69, 31, 16, 13, 11
2022/5/3, 122, 58, 28, 13, 12, 12
2022/5/4, 67, 72, 27, 10, 10, 10
2022/5/5, 93, 69, 27, 10, 9, 10
2022/5/6, 94, 67, 28, 9, 10, 11
2022/5/7, 112, 72, 23, 10, 10, 12
2022/5/9, 135, 71, 24, 9, 10, 10
2022/5/10, 124, 76, 19, 15, 10, 11
2022/5/11, 81, 64, 25, 11, 10, 11
2022/5/12, 95, 63, 22, 16, 10, 12
2022/5/13, 107, 59, 25, 18, 10, 11
2022/5/14, 95, 65, 25, 19, 8, 9
2022/5/16, 107, 72, 22, 14, 12, 10
2022/5/17, 125, 66, 23, 12, 11, 10
